LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-11,99.39384,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2016-12,99.48739,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-01,99.70282,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-02,100.0835,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-03,100.5034,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-04,100.7915,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-05,100.8174,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-06,100.7086,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-07,100.6275,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-08,100.6844,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-09,100.8217,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-10,100.9537,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-11,101.0257,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2017-12,101.0784,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-01,101.176,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-02,101.3537,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-03,101.5198,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-04,101.5308,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-05,101.2778,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-06,100.9286,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-07,100.7027,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-08,100.7439,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-09,100.8688,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-10,100.8063,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-11,100.3535,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2018-12,99.71876,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-01,99.18871,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-02,98.97681,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-03,98.96746,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-04,99.01213,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-05,99.02292,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-06,99.01208,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-07,99.02512,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-08,99.09546,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-09,99.17529,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-10,99.17747,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-11,99.00804,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2019-12,98.6763,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-01,98.15543,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-02,97.40546,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-03,96.58541,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-04,95.90488,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-05,95.54593,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-06,95.44522,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-07,95.56886,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-08,95.92884,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-09,96.37516,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-10,96.7412,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-11,96.90262,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2020-12,96.91666,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-01,96.86066,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-02,96.81805,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-03,96.93439,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-04,97.45988,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-05,98.63313,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-06,100.1556,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-07,101.6745,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-08,102.9168,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-09,103.826,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-10,104.2749,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-11,104.1103,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2021-12,103.6589,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2022-01,103.2738,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2022-02,103.169,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2022-03,103.1866,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2022-04,103.0696,
