Country Name,Country Code,2015 [YR2015] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2016 [YR2016] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2017 [YR2017] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2018 [YR2018] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2019 [YR2019] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2020 [YR2020] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2021 [YR2021] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
Slovenia,SVN,20890.1664304173,21541.176421949,22563.7589398118,23483.529124564,24125.3920363107,22928.7627401934,24744.841297261
Solomon Islands,SLB,2134.80245126853,2197.98512308263,2210.90843754095,2217.81419640139,2203.98033155881,2079.53741627946,2026.48245906934
Somalia,SOM,387.607994416701,405.11158019616,398.691820034631,413.503861987947,428.483115760689,424.392316823319,427.8996711934
South Africa,ZAF,6204.92990145846,6185.74604725477,6233.18710776586,6250.99754451043,6189.28924467793,5726.2627750226,5947.88719855492
South Sudan,SSD,1071.77776475545,..,..,..,..,..,..
Spain,ESP,25754.36102944,26514.3248119679,27239.3524364815,27739.8647682529,28087.8979203438,24785.446714692,26125.8716662745
Sri Lanka,LKA,4060.13178524716,4218.44401553777,4440.51197526867,4495.71089310179,4458.43485391502,4280.84906667802,4375.9477077248
St. Kitts and Nevis,KNA,20025.9623507165,20813.9466201503,20816.7247384417,21254.6557957777,22137.6454319838,18948.3865021181,18795.9150699081
St. Lucia,LCA,10290.3789108118,10628.7679536851,10942.2505844197,11211.596237978,11095.3541798074,8361.39265116311,9362.35437011581
St. Martin (French part),MAF,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,7386.73759501693,7730.93614913747,7890.82330184714,8152.37803656695,8213.164718654,7798.53138614868,7926.70381999198
Sudan,SDN,2226.42163085938,2233.07348632813,2176.896484375,2051.990234375,1950.04223632813,1828.16003417969,1746.1923828125
Suriname,SUR,8907.75122246823,8382.78531895038,8425.67917627508,8750.91906668785,8756.06972901955,7275.29469573411,7008.36246126239
Sweden,SWE,51545.4836095322,51955.8610703634,52576.8102821051,52983.0068617482,53490.3518198746,51952.6731328342,54262.4390838963
Switzerland,CHE,83806.4476003837,84611.0998479606,84967.5885484699,86756.6021294513,87123.6604363226,84434.7784901292,87339.7597519546
Syrian Arab Republic,SYR,857.497867522093,812.766088932086,806.074762587407,802.505062685495,781.391217414265,726.738798208621,..
Tajikistan,TJK,970.365223790049,1013.38695685911,1060.99135382876,1116.27979627083,1172.07228695548,1197.20426969679,1279.61266668702
Tanzania,TZA,928.806457519531,958.721923828125,989.892822265625,1011.08264160156,1037.94030761719,1027.28588867188,1039.56457519531
Thailand,THA,5708.79692481031,5878.75685766182,6099.20105389487,6336.24282262982,6456.24199159638,6042.01970122734,6123.9468903435
Timor-Leste,TLS,1322.3009129909,1346.10369507363,1285.34470430701,1257.64680737461,1530.81109245341,1988.98251997525,2061.01889115191
Togo,TGO,559.445746549378,576.044892778966,586.436079640959,600.785119470887,618.490502735404,614.461360795385,631.653891551939
Tonga,TON,4117.96071656001,4405.78115488448,4564.76976516656,4587.31319232051,4628.48136062338,4637.7088672375,4481.51064056268
Trinidad and Tobago,TTO,18389.5310320673,17038.77621396,16134.889352973,15716.9074857674,15576.4345950337,14397.5503781367,14179.5539990361
Tunisia,TUN,3960.97532992845,3961.42605360919,4007.20350757995,4069.11352412974,4090.43340194668,3703.24374360361,3831.43732713238
Turkiye,TUR,10851.9541305658,11022.5292614965,11694.9252340653,11938.7828744092,11935.4252883628,12072.4372855693,13341.5981737484
Turkmenistan,TKM,6208.2966545016,6478.47003028692,6784.17434899481,7089.94180488049,7422.36251776805,..,..
Turks and Caicos Islands,TCA,25783.2941047676,26417.9573446856,24726.9473986239,25080.1644890531,25438.7832890572,18122.4250199858,18159.2993269486
Tuvalu,TUV,3384.35777601473,3584.16313776417,3656.25212271748,3707.72734455159,4184.09405884431,4204.12811658383,4277.45567208165
Uganda,UGA,864.18006234671,875.796256209345,872.185879575788,896.16253506792,922.023177303942,918.120101085079,920.547617719657
Ukraine,UKR,2124.66235351563,2185.31713867188,2246.73852539063,2336.97631835938,2425.63452148438,2350.39990234375,2451.90087890625
United Arab Emirates,ARE,41525.1389031283,43457.5134802784,43419.5637407047,43644.1470438183,43785.4172694435,41276.0555102387,42535.9660450383
United Kingdom,GBR,45071.0743234873,45699.2969631888,46499.0135456264,47006.1429267683,47491.5945630059,42098.7497835684,45101.536026388
United States,USA,56762.7294515989,57292.5387829091,58207.578310388,59607.3936602496,60698.0112990179,58453.446127536,61855.5186299157
Uruguay,URY,15655.936997552,15869.4334752063,16088.0020282681,16142.0486948682,16192.1592149791,15197.9589235994,15874.737994987
